Coach,W,University
Bill Dooley,3,North Carolina Virginia Tech Wake Forest
Randy Edsall,3,Connecticut Maryland
Rip Engle,3,Brown Penn State
Chuck Fairbanks,3,Colorado Oklahoma
Larry Fedora,3,North Carolina Southern Mississippi
P.J. Fleck,3,Minnesota Western Michigan
Dennis Franchione,3,Alabama New Mexico Texas A&M Texas Christian Texas State
Willie Fritz,3,Georgia Southern Tulane
Al Groh,3,Virginia Wake Forest
Frank Howard,3,Clemson
Jimmy Johnson,3,Miami (FL) Oklahoma State
Pat Jones,3,Oklahoma State
Lane Kiffin,3,Florida Atlantic Ole Miss USC Tennessee
Jim Leavitt,3,South Florida
Sonny Lubick,3,Colorado State
Dick MacPherson,3,Syracuse
Mark Mangino,3,Kansas
Ron McBride,3,Utah
Dan McCarney,3,Iowa State North Texas
Bill McCartney,3,Colorado
Dutch Meyer,3,Texas Christian
Jeff Monken,3,Army
Will Muschamp,3,Florida South Carolina
Ara Parseghian,3,Northwestern Notre Dame
Ray Perkins,3,Alabama Arkansas State
George Perles,3,Michigan State
Warren Powers,3,Missouri Washington State
Mike Price,3,UTEP Washington State
Kalani Sitake,3,Brigham Young
R.C. Slocum,3,Texas A&M
Larry Smith,3,Arizona Missouri USC Tulane
Bruce Snyder,3,Arizona State California Utah State
Mark Stoops,3,Kentucky
Jim Tatum,3,Maryland North Carolina Oklahoma
Bill Walsh,3,Stanford
Tommy West,3,Clemson Memphis
Steve Addazio,2,Boston College Colorado State Temple
Fred Akers,2,Purdue Texas Wyoming
Tom Amstutz,2,Toledo
Blake Anderson,2,Arkansas State
Chris Ault,2,Nevada
Dino Babers,2,Bowling Green State Syracuse
Gary Barnett,2,Colorado Northwestern
John Barnhill,2,Arkansas Tennessee
Emory Bellard,2,Mississippi State Texas A&M
Jack Bicknell,2,Boston College
Gary Blackney,2,Bowling Green State
Larry Blakeney,2,Troy
Craig Bohl,2,Wyoming
Gregg Brandon,2,Bowling Green State
John Bridgers,2,Baylor
Mike Brumbelow,2,UTEP
Jim Carlen,2,South Carolina Texas Tech West Virginia
Len Casanova,2,Oregon Pitt Santa Clara
Blair Cherry,2,Texas
Tracy Claeys,2,Minnesota
Shawn Clark,2,Appalachian State
Jeff Cravath,2,Denver San Francisco USC
Bill Curry,2,Alabama Georgia Tech Kentucky
Doug Dickey,2,Florida Tennessee
Paul Dietzel,2,Army LSU South Carolina
Robert Dobbs,2,UTEP Tulsa
Spike Dykes,2,Texas Tech
Ray Eliot,2,Illinois
Shawn Elliott,2,Georgia State South Carolina
Eddie Erdelatz,2,Navy
Forest Evashevski,2,Iowa Washington State
Luke Fickell,2,Cincinnati Ohio State
Henry Frnka,2,Tulane Tulsa
Justin Fuente,2,Memphis Virginia Tech
Chan Gailey,2,Georgia Tech
Gary Gibbs,2,Oklahoma
Ray Goff,2,Georgia
Jim Harbaugh,2,Michigan Stanford
Walt Harris,2,Pacific Pitt Stanford
Dan Hawkins,2,Boise State Colorado
Mark Helfrich,2,Oregon
Clay Helton,2,USC
Gus Henderson,2,USC Tulsa
Brady Hoke,2,Ball State Michigan San Diego State Tennessee
Dana Holgorsen,2,Houston West Virginia
Chip Kelly,2,Oregon UCLA
Joe Kerbel,2,West Texas A&M
Frank Kimbrough,2,Baylor Hardin-Simmons North Carolina Pre-Flight West Texas A&M
Frank Lauterbur,2,Iowa Toledo
Lance Leipold,2,Buffalo
Tony Levine,2,Houston
Steve Logan,2,East Carolina
Jim Lookabaugh,2,Oklahoma State
Chad Lunsford,2,Georgia Southern
John Mackovic,2,Arizona Illinois Texas Wake Forest
Gus Malzahn,2,Arkansas State Auburn UCF
Doug Marrone,2,Syracuse
Jim McElwain,2,Central Michigan Colorado State Florida
Ruffin McNeill,2,East Carolina Texas Tech
Jim Mora,2,UCLA
Charley Moran,2,Centre Texas A&M
Bill Murray,2,Duke
Billy Napier,2,Louisiana
Bob Neyland,2,Tennessee
Homer Norton,2,Centenary (LA) Texas A&M
Jay Norvell,2,Nevada
Jim Owens,2,Washington
Charley Pell,2,Clemson Florida
Tommy Prothro,2,Oregon State UCLA
John Ralston,2,San Jose State Stanford Utah State
Bo Rein,2,North Carolina State
Nick Rolovich,2,Hawaii Washington State
Steve Sarkisian,2,USC Texas Washington
Chris Scelfo,2,Tulane
Ben Schwartzwalder,2,Syracuse
Dick Sheridan,2,Furman North Carolina State
Jim Stanley,2,Oklahoma State
Bill Stewart,2,West Virginia
Rick Stockstill,2,Middle Tennessee State
Steve Stripling,2,Central Michigan Cincinnati
John Thompson,2,Arkansas State East Carolina
Carl Torbush,2,North Carolina
Wallace Wade,2,Alabama Duke
Charlie Weatherbie,2,Louisiana-Monroe Navy Utah State
DeWitt Weaver,2,Texas Tech
Matt Wells,2,Texas Tech Utah State
Bobby Williams,2,Michigan State
Tom Wilson,2,Texas A&M
Bob Woodruff,2,Baylor Florida
Bowden Wyatt,2,Arkansas Tennessee Wyoming
