Rk,Coach,W,School
134,Dick Crum,113,Kent State Miami (OH) North Carolina
135,Pat Hill,112,Fresno State
,June Jones,112,Hawaii SMU
,Mike Riley,112,Nebraska Oregon State
138,Wayne Hardin,111,Navy Temple
,Frank Murray,111,Marquette Virginia
,Homer Norton,111,Centenary (LA) Texas A&M
,Jordan Olivar,111,Loyola Marymount Villanova Yale
142,Herb Deromedi,110,Central Michigan
143,Duffy Daugherty,109,Michigan State
,Paul Dietzel,109,Army LSU South Carolina
,Don Faurot,109,Iowa Pre-Flight Missouri
,Jimbo Fisher*,109,Florida State Texas A&M
,DeOrmond McLaughry,109,Brown Dartmouth
,Dutch Meyer,109,Texas Christian
,Darryl Rogers,109,Arizona State Fresno State Michigan State San Jose State
150,Fred Akers,108,Purdue Texas Wyoming
,Sonny Lubick,108,Colorado State
,Clark Shaughnessy,108,Chicago Maryland Pitt Stanford Tulane
,Jeff Tedford,108,California Fresno State
154,Jim Carlen,107,South Carolina Texas Tech West Virginia
,Frank Leahy,107,Boston College Notre Dame
156,Pat Fitzgerald*,106,Northwestern
,Carl Snavely,106,Bucknell Cornell North Carolina
,Jim Tressel,106,Ohio State
159,Hugo Bezdek,105,Arkansas Oregon Penn State
,Knute Rockne,105,Notre Dame
161,Len Casanova,104,Oregon Pitt Santa Clara
,Doug Dickey,104,Florida Tennessee
,Tommy Prothro,104,Oregon State UCLA
164,Houston Nutt,103,Arkansas Boise State Ole Miss
,Bobby Ross,103,Army Citadel Georgia Tech Maryland
166,Butch Davis*,102,Florida International Miami (FL) North Carolina
,Ben Martin,102,Air Force Virginia
,Red Sanders,102,UCLA Vanderbilt
169,Troy Calhoun*,101,Air Force
,Joe Morrison,101,Chattanooga New Mexico South Carolina
,Ken Niumatalolo*,101,Navy
172,Todd Graham*,100,Arizona State Hawaii Pitt Rice Tulsa
,Jim Tatum,100,Maryland North Carolina Oklahoma
174,Art Briles,99,Baylor Houston
,Claude Gilbert,99,San Diego State San Jose State
,Bob Higgins,99,Penn State Washington (MO)
,Jim Owens,99,Washington
,Ossie Solem,99,Drake Iowa Syracuse
,Bowden Wyatt,99,Arkansas Tennessee Wyoming
180,Randy Edsall*,98,Connecticut Maryland
,Harry Mehre,98,Georgia Ole Miss
,Dan Mullen*,98,Florida Mississippi State
183,Bret Bielema*,97,Arkansas Illinois Wisconsin
,Pete Carroll,97,USC
,Jack Curtice,97,California-Santa Barbara Stanford UTEP Utah West Texas A&M
,Percy Haughton,97,Columbia Cornell Harvard
,John Ralston,97,San Jose State Stanford Utah State
,Gene Stallings,97,Alabama Texas A&M
,Murray Warmath,97,Minnesota Mississippi State
190,Chris Ault,95,Nevada
,John Mackovic,95,Arizona Illinois Texas Wake Forest
,Kevin Sumlin,95,Arizona Houston Texas A&M
,Randy Walker,95,Miami (OH) Northwestern
194,Rick Stockstill*,94,Middle Tennessee State
195,O.E. Hollingbery,93,Washington State
,Bill McCartney,93,Colorado
,Bill Murray,93,Duke
,Bennie Owen,93,Oklahoma
199,Bo McMillin,92,Indiana Kansas State
200,Aldo Donelli,91,Boston University Columbia Duquesne
,Dennis Stolz,91,Bowling Green State Michigan State San Diego State
202,Tommy Bowden,90,Clemson Tulane
,David Shaw*,90,Stanford
204,Bobby Collins,89,SMU Southern Mississippi
,Clarence Spears,89,Maryland Minnesota Oregon West Virginia Wisconsin
206,Curley Byrd,88,Maryland
,Ron McBride,88,Utah
,Glenn Thistlethwaite,88,Northwestern Richmond Wisconsin
,Joseph Yukica,88,Boston College Dartmouth
210,Biff Jones,87,Army LSU Nebraska Oklahoma
